cluster,segment,size,precision,visited_low_pressure
1,museum,2044,0.4563111545988259,0.8742483342782597
0,market,768,0.5518229166666667,0.846665459343278
3,square_landmark,736,0.5948369565217391,0.7743413870801937
4,park_nature,736,0.7860054347826086,0.9293966447231594
2,architecture,716,0.8136871508379888,0.888454611319022
