poi_id,name,category,lat,lon,district,popularity,low_pressure,capacity,visits_popularity,visits_interests,visits_sustainability,visits_random
BCN040,Fundació Antoni Tàpies,museum,41.39167,2.16361,Eixample,0.001240883725018078,0.3773136944686143,1500.0,0,116,127,422
BCN041,Montjuïc Castle,monument,41.36342,2.16617,Sants-Montjuïc,0.019207592189568048,0.9419011618351955,1500.0,194,594,1498,366
BCN042,Casa de les Punxes,architecture,41.39798,2.163783,Eixample,0.0052998613795389934,0.3773136944686143,1500.0,0,209,40,390
BCN043,Jardí Botànic de Barcelona,park_nature,41.3618,2.1587,Sants-Montjuïc,0.0021454409705694752,0.9419011618351955,1500.0,0,323,1509,336
BCN044,CosmoCaixa Barcelona,museum,41.413056,2.131111,Sarrià-Sant Gervasi,0.0042169162212044925,0.9687751533800302,1500.0,0,164,714,299
BCN045,Estadi Olímpic Lluís Companys,cultural_venue,41.364722,2.155556,Sants-Montjuïc,0.11448240094467277,0.9419011618351955,1500.0,3047,524,1445,354
BCN046,Parc de la Ciutadella,park_nature,41.388111,2.187517,Ciutat Vella,0.018991351231877313,0.0,1500.0,126,592,10,383
BCN047,Palau de la Música Catalana,cultural_venue,41.387667,2.175278,Ciutat Vella,0.027405604513127176,0.0,1500.0,1466,529,278,393
BCN048,Parc de les Aigües,park_nature,41.413056,2.165278,Horta-Guinardó,0.00036504258250005876,0.9932213485796995,1500.0,0,334,105,352
BCN049,Platja del Bogatell,beach,41.393889,2.20625,Sant Martí,0.00031979296559897876,0.7308398703292003,1500.0,0,581,170,340
BCN050,Platja de la Mar Bella,beach,41.398528,2.211889,Sant Martí,0.0003158771333671545,0.7308398703292003,1500.0,0,495,219,339
BCN051,Torre Glòries,architecture,41.403489,2.189519,Sant Martí,0.02863300037156897,0.7308398703292003,1500.0,1412,373,91,385
BCN052,Plaça de la Vila de Gràcia,square_landmark,41.40011,2.15765,Gràcia,0.0008475601319548443,0.9401005027534889,1500.0,0,293,72,375
BCN053,Museum of the History of Barcelona,museum,41.383904,2.177691,Ciutat Vella,0.005610952495733918,0.0,1500.0,0,389,21,404
BCN054,Mercat de Sant Antoni,market,41.378611,2.162083,Eixample,0.0009093432627236267,0.3773136944686143,1500.0,0,545,158,384
BCN055,Casa Batlló,architecture,41.39158,2.16492,Eixample,0.10896412314509203,0.3773136944686143,1500.0,3270,662,16,399
BCN056,Sagrada Família,religious,41.40369,2.17433,Eixample,1.0,0.3773136944686143,1500.0,3267,488,386,361
BCN057,Design Museum of Barcelona,museum,41.402222,2.1875,Sant Martí,0.003280162132858096,0.7308398703292003,1500.0,0,183,25,396
BCN058,Casa Amatller,architecture,41.391449,2.165009,Eixample,0.0077764077199327175,0.3773136944686143,1500.0,0,259,10,403
BCN059,Hospital de Sant Pau,architecture,41.412778,2.174444,Horta-Guinardó,0.021822062843016025,0.9932213485796995,1500.0,622,335,419,338
BCN060,Jardins de Mossèn Cinto Verdaguer,park_nature,41.367617,2.164321,Sants-Montjuïc,1.174749669547269e-05,0.9419011618351955,1500.0,0,42,16,384
BCN061,Parc Central de Nou Barris,park_nature,41.43669,2.16735,Nou Barris,2.958628797378307e-05,1.0,1500.0,0,73,680,284
BCN062,Parc Diagonal Mar,park_nature,41.407413,2.213856,Sant Martí,6.439368558999845e-05,0.7308398703292003,1500.0,0,82,89,309
BCN063,FC Barcelona Museum,museum,41.38039,2.120636,Les Corts,0.0030056187841601975,0.8122098728005709,1500.0,0,54,554,274
BCN064,Arc de Triomf,monument,41.391111,2.180556,Ciutat Vella,0.0029225161223514835,0.0,1500.0,0,454,99,408
BCN065,Tibidabo (mountain & viewpoint),viewpoint,41.4225,2.118611,Sarrià-Sant Gervasi,0.02709929941410448,0.9687751533800302,1500.0,520,475,259,283
BCN066,Casa Vicens,architecture,41.403487,2.150643,Gràcia,0.01949083738767,0.9401005027534889,1500.0,331,287,1433,362
BCN067,Barcelona Pavilion,architecture,41.370556,2.15,Sants-Montjuïc,0.030484753924751626,0.9419011618351955,1500.0,1828,418,1655,362
BCN068,Bellesguard,architecture,41.409563,2.126863,Sarrià-Sant Gervasi,0.004390953209285569,0.9687751533800302,1500.0,0,83,632,317
BCN069,Plaça de Catalunya,square_landmark,41.387031,2.170079,Eixample,0.012767353445627799,0.3773136944686143,1500.0,0,537,77,400
BCN070,La Rambla,square_landmark,41.381389,2.173056,Ciutat Vella,0.043150295732352,0.0,1500.0,2419,633,412,412
BCN071,Museu Nacional d'Art de Catalunya,museum,41.368333,2.153306,Sants-Montjuïc,0.02045195665434775,0.9419011618351955,1500.0,175,539,1656,338
BCN072,Fundació Joan Miró,museum,41.368611,2.16,Sants-Montjuïc,0.00764109396169968,0.9419011618351955,1500.0,0,386,40,298
BCN073,Museu Blau (Museu de Ciències Naturals),museum,41.411039,2.22133,Sant Martí,0.000631754266734309,0.7308398703292003,1500.0,0,42,150,311
BCN074,Parc del Centre del Poblenou,park_nature,41.407764,2.201428,Sant Martí,8.527812415972767e-05,0.7308398703292003,1500.0,0,173,101,343
BCN075,Basílica de Santa Maria del Mar,religious,41.383611,2.181944,Ciutat Vella,0.018518840809237186,0.0,1500.0,59,476,29,386
BCN076,El Born CCM (former Mercat del Born),cultural_venue,41.385397,2.1841,Ciutat Vella,0.0014519035730663839,0.0,1500.0,0,326,15,391
BCN077,CaixaForum Barcelona,museum,41.371331,2.14975,Sants-Montjuïc,0.0029407900060999964,0.9419011618351955,1500.0,0,132,79,387
